,Ask,Ask,Ask,Ask,Ask,Ask,Ask,Ask,Ask,Ask,Ask,Bid,Bid,Bid,Bid,Bid,Bid,Bid,Bid,Bid,Bid,Bid
,open,high,low,close,Rsi,RsiMA,Gamma,Gamma_Long,Gamma_Short,Rsi_Diff,Rsi_Crossover,open,high,low,close,Rsi,RsiMA,Gamma,Gamma_Long,Gamma_Short,Rsi_Diff,Rsi_Crossover
Date,,,,,,,,,,,,,,,,,,,,,,
2022-03-11 10:00:00,4274.07,4285.12,4274.03,4277.68,,,,0.0,0.0,0.0,0.0,4273.31,4282.93,4273.27,4282.93,,,,0,0,0,0.0
2022-03-11 10:05:00,,,,,,,,,,,,4283.3,4284.36,4279.15,4280.03,,,,0,0,0,0.0
2022-03-11 10:10:00,,,,,,,,,,,,4279.93,4280.01,4276.82,4276.93,0.0,,,0,0,0,0.0
2022-03-11 10:15:00,4277.69,4279.63,4277.22,4279.62,,,,0.0,0.0,0.0,0.0,4276.94,4278.87,4276.47,4278.86,45.89774078477356,22.94887039238678,22.94887039238678,1,0,1,1.0
