date,Ask
2022-03-23 17:30:01.984,4468.83
2022-03-23 17:30:02.389,4468.81
2022-03-23 17:30:03.386,4468.59
2022-03-23 17:30:03.982,4468.58
2022-03-23 17:30:05.364,4468.33
2022-03-23 17:30:07.765,4468.35
2022-03-23 17:30:09.475,4468.08
2022-03-23 17:30:11.815,4467.58
2022-03-23 17:30:13.019,4467.58
2022-03-23 17:30:14.786,4467.58
2022-03-23 17:30:15.738,4467.58
2022-03-23 17:30:16.939,4467.82
2022-03-23 17:30:17.428,4467.76
2022-03-23 17:30:18.000,4468.06
2022-03-23 17:30:18.824,4468.08
2022-03-23 17:30:20.826,4467.58
2022-03-23 17:30:21.433,4467.58
2022-03-23 17:30:22.003,4467.85
2022-03-23 17:30:23.013,4467.83
2022-03-23 17:30:23.263,4467.83
2022-03-23 17:30:25.525,4467.63
2022-03-23 17:30:26.918,4467.56
2022-03-23 17:30:27.432,4467.33
2022-03-23 17:30:27.983,4467.34
2022-03-23 17:30:29.790,4467.62
2022-03-23 17:30:30.669,4467.59
2022-03-23 17:30:31.510,4467.58
2022-03-23 17:30:32.030,4467.55
2022-03-23 17:30:34.499,4467.58
2022-03-23 17:30:34.948,4467.34
2022-03-23 17:30:35.512,4467.35
2022-03-23 17:30:35.803,4467.34
2022-03-23 17:30:37.863,4467.58
2022-03-23 17:30:38.390,4467.59
2022-03-23 17:30:39.974,4467.85
2022-03-23 17:30:40.962,4468.1
2022-03-23 17:30:41.341,4468.07
2022-03-23 17:30:41.941,4468.08
2022-03-23 17:30:42.441,4468.12
2022-03-23 17:30:43.227,4468.34
2022-03-23 17:30:44.013,4468.59
2022-03-23 17:30:44.530,4468.61
2022-03-23 17:30:45.025,4468.59
2022-03-23 17:30:45.821,4468.32
2022-03-23 17:30:46.497,4468.36
2022-03-23 17:30:47.367,4468.57
2022-03-23 17:30:47.836,4468.55
2022-03-23 17:30:48.926,4468.59
2022-03-23 17:30:50.163,4468.58
2022-03-23 17:30:50.757,4468.52
2022-03-23 17:30:51.750,4468.57
2022-03-23 17:30:52.522,4468.61
2022-03-23 17:30:52.917,4468.58
2022-03-23 17:30:53.365,4468.59
2022-03-23 17:30:54.765,4468.59
2022-03-23 17:30:56.349,4468.56
2022-03-23 17:30:57.024,4468.1
2022-03-23 17:30:57.478,4468.06
2022-03-23 17:30:57.950,4468.05
2022-03-23 17:30:58.281,4468.04
2022-03-23 17:30:59.025,4468.08
2022-03-23 17:31:00.141,4468.08
2022-03-23 17:31:00.877,4468.04
2022-03-23 17:31:01.460,4468.1
2022-03-23 17:31:01.660,4468.1
2022-03-23 17:31:02.498,4468.1
2022-03-23 17:31:03.274,4468.08
2022-03-23 17:31:05.529,4468.34
2022-03-23 17:31:05.733,4468.33
2022-03-23 17:31:07.395,4468.09
2022-03-23 17:31:10.302,4468.3
2022-03-23 17:31:10.805,4468.34
2022-03-23 17:31:11.488,4468.34
2022-03-23 17:31:15.449,4468.6
2022-03-23 17:31:15.888,4468.57
2022-03-23 17:31:17.486,4468.58
2022-03-23 17:31:18.847,4468.55
2022-03-23 17:31:19.440,4468.54
2022-03-23 17:31:20.311,4468.53
2022-03-23 17:31:21.024,4468.58
2022-03-23 17:31:21.893,4468.73
2022-03-23 17:31:22.486,4469.59
2022-03-23 17:31:23.024,4470.09
2022-03-23 17:31:24.003,4469.87
2022-03-23 17:31:24.490,4469.84
2022-03-23 17:31:25.025,4470.08
2022-03-23 17:31:25.400,4470.1
2022-03-23 17:31:26.022,4470.1
2022-03-23 17:31:26.486,4470.34
2022-03-23 17:31:27.005,4470.34
2022-03-23 17:31:28.270,4470.33
2022-03-23 17:31:28.887,4470.35
2022-03-23 17:31:29.292,4470.35
2022-03-23 17:31:29.958,4470.58
2022-03-23 17:31:30.280,4470.6
2022-03-23 17:31:32.491,4470.59
2022-03-23 17:31:33.509,4470.84
2022-03-23 17:31:33.951,4470.85
2022-03-23 17:31:34.796,4470.82
2022-03-23 17:31:35.509,4470.8
2022-03-23 17:31:36.265,4471.09
2022-03-23 17:31:36.892,4471.33
2022-03-23 17:31:37.518,4471.35
2022-03-23 17:31:38.031,4471.35
2022-03-23 17:31:38.441,4471.59
2022-03-23 17:31:39.030,4471.82
2022-03-23 17:31:39.851,4471.6
2022-03-23 17:31:40.754,4471.79
2022-03-23 17:31:41.621,4471.79
2022-03-23 17:31:42.809,4472.1
2022-03-23 17:31:43.414,4472.09
2022-03-23 17:31:43.955,4472.08
2022-03-23 17:31:44.955,4472.07
2022-03-23 17:31:45.528,4471.65
2022-03-23 17:31:45.990,4471.58
2022-03-23 17:31:47.029,4471.56
2022-03-23 17:31:47.434,4471.57
2022-03-23 17:31:47.983,4471.56
2022-03-23 17:31:48.290,4471.58
2022-03-23 17:31:48.795,4471.61
2022-03-23 17:31:49.454,4471.57
2022-03-23 17:31:51.029,4471.84
2022-03-23 17:31:51.495,4472.09
2022-03-23 17:31:52.934,4472.05
2022-03-23 17:31:53.427,4472.08
2022-03-23 17:31:53.944,4471.83
2022-03-23 17:31:54.513,4471.85
2022-03-23 17:31:54.851,4472.34
2022-03-23 17:31:55.833,4472.54
2022-03-23 17:31:57.509,4472.37
2022-03-23 17:31:57.879,4472.32
2022-03-23 17:31:58.473,4472.37
2022-03-23 17:31:59.000,4472.59
2022-03-23 17:31:59.786,4472.58
2022-03-23 17:32:00.651,4472.36
2022-03-23 17:32:01.391,4472.34
2022-03-23 17:32:02.008,4472.62
2022-03-23 17:32:02.508,4472.51
2022-03-23 17:32:02.951,4472.58
2022-03-23 17:32:03.483,4472.64
2022-03-23 17:32:03.804,4472.6
2022-03-23 17:32:04.758,4472.81
2022-03-23 17:32:05.489,4472.57
2022-03-23 17:32:06.496,4472.32
2022-03-23 17:32:07.032,4472.11
2022-03-23 17:32:07.396,4472.1
2022-03-23 17:32:07.928,4472.07
2022-03-23 17:32:08.285,4471.83
2022-03-23 17:32:09.028,4471.71
2022-03-23 17:32:09.893,4471.59
2022-03-23 17:32:10.952,4471.59
2022-03-23 17:32:11.448,4471.58
2022-03-23 17:32:12.532,4471.82
2022-03-23 17:32:12.878,4471.83
2022-03-23 17:32:14.451,4471.58
2022-03-23 17:32:14.822,4471.6
2022-03-23 17:32:15.388,4471.58
2022-03-23 17:32:15.955,4471.54
2022-03-23 17:32:16.998,4471.59
2022-03-23 17:32:17.806,4471.61
2022-03-23 17:32:18.497,4471.83
2022-03-23 17:32:19.120,4471.82
2022-03-23 17:32:20.522,4471.85
2022-03-23 17:32:20.979,4472.34
2022-03-23 17:32:21.504,4472.34
2022-03-23 17:32:22.488,4472.34
2022-03-23 17:32:23.005,4472.33
2022-03-23 17:32:24.412,4472.35
2022-03-23 17:32:25.448,4472.55
2022-03-23 17:32:27.444,4472.36
2022-03-23 17:32:29.028,4472.6
2022-03-23 17:32:29.345,4472.57
2022-03-23 17:32:30.365,4472.35
2022-03-23 17:32:30.721,4472.33
2022-03-23 17:32:31.244,4472.34
2022-03-23 17:32:32.467,4472.83
2022-03-23 17:32:33.002,4473.02
2022-03-23 17:32:33.491,4472.82
2022-03-23 17:32:34.957,4472.85
2022-03-23 17:32:35.154,4472.85
2022-03-23 17:32:36.458,4472.85
2022-03-23 17:32:37.293,4472.82
2022-03-23 17:32:38.991,4472.85
2022-03-23 17:32:39.948,4472.85
2022-03-23 17:32:40.352,4472.85
2022-03-23 17:32:40.964,4472.84
2022-03-23 17:32:42.969,4473.09
2022-03-23 17:32:43.956,4473.34
2022-03-23 17:32:45.017,4473.35
2022-03-23 17:32:45.529,4473.33
2022-03-23 17:32:46.028,4473.3
2022-03-23 17:32:46.525,4473.32
2022-03-23 17:32:46.867,4473.34
2022-03-23 17:32:47.481,4473.34
2022-03-23 17:32:47.834,4473.28
2022-03-23 17:32:48.329,4473.33
2022-03-23 17:32:48.864,4473.34
2022-03-23 17:32:49.867,4473.32
2022-03-23 17:32:51.856,4473.07
2022-03-23 17:32:52.502,4472.85
2022-03-23 17:32:53.031,4473.08
2022-03-23 17:32:53.793,4473.09
2022-03-23 17:32:54.867,4473.05
2022-03-23 17:32:55.493,4473.12
2022-03-23 17:32:55.897,4473.09
2022-03-23 17:32:56.485,4473.07
2022-03-23 17:32:57.512,4473.1
2022-03-23 17:32:57.937,4473.08
2022-03-23 17:32:58.897,4473.28
2022-03-23 17:32:59.947,4473.11
2022-03-23 17:33:00.813,4473.09
2022-03-23 17:33:01.479,4473.09
2022-03-23 17:33:03.024,4473.05
